Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Best Epoch
1,0.19068390368833207,92.96875,0.06745842623524367,97.9,1
2,0.0654309265097254,98.0,0.1478375509942125,93.3,1
3,0.05352305234308005,98.34375,0.07299753591685294,97.5,1
4,0.046139076782928896,98.1875,0.1545139276075824,95.5,1
5,0.04794982822659222,98.34375,0.057721694346008004,98.3,5
6,0.04038905338773475,98.71875,0.09041522070488191,97.0,5
7,0.030089484477368842,98.84375,0.0628312047975551,98.0,5
8,0.028493624931297746,99.03125,0.055470935040786574,98.2,8
9,0.029346466426359255,99.0,0.04849164704229065,98.4,9
10,0.01877777099245577,99.125,0.0761255601971763,97.6,9
11,0.03311587243122631,99.0,0.1065400033693511,96.25,9
12,0.019545467052221283,99.375,0.07019095230376501,97.7,9
13,0.028600921993038354,98.875,0.10055371467686927,97.25,9
14,0.023762376567656247,99.34375,0.0599654772716026,98.1,9
15,0.02046504318249845,99.1875,0.1846100237025312,93.3,9
16,0.008857527392394786,99.65625,0.03404054637484718,98.8,16
17,0.009567419993460361,99.625,0.027603164359785125,99.2,17
18,0.009263627793752676,99.6875,0.11359735867910631,97.15,17
19,0.007941464054125618,99.65625,0.04615809524302478,98.7,17
20,0.00956770579871545,99.59375,0.040402940885460224,98.95,17
21,0.015777381656434386,99.375,0.0731116164067601,97.55,17
22,0.014851159384077163,99.53125,0.04910565564009403,98.6,17
23,0.011062583231318968,99.65625,0.04422499936048541,98.9,17
24,0.004120462913610936,99.84375,0.06880832356725307,98.35,17
25,0.0056382723454566986,99.84375,0.06330341126560177,98.2,17
26,0.00362725341814496,99.875,0.09437976265577709,97.6,17
27,0.00436887891861943,99.8125,0.05990514128147953,98.6,17
28,0.0026687244906474917,99.90625,0.06512727045184519,98.55,17
29,0.0014047953525101774,99.96875,0.07706729911025803,98.5,17
30,0.002115919361763474,99.9375,0.07228613971169377,98.35,17
31,0.0013695025557908026,99.96875,0.08637005640067982,98.25,17
32,0.0027532936604583824,99.875,0.03831589341254286,99.2,17
33,0.001903649930267477,99.9375,0.13638567554517714,97.25,17
34,0.0012423270457631475,99.96875,0.050026750210520464,99.1,17
35,0.004575067983429762,99.84375,0.06907144977089905,98.75,17
36,0.0006850966026985361,100.0,0.08568431614828893,98.35,17
